day_key,line_id,line_name,hour,hourly_count,run_minutes
2026-04-20,1,ECU Housing 1,0,0,0
2026-04-20,1,ECU Housing 1,1,0,0
2026-04-20,1,ECU Housing 1,2,0,0
2026-04-20,1,ECU Housing 1,3,0,0
2026-04-20,1,ECU Housing 1,4,0,0
2026-04-20,1,ECU Housing 1,5,0,0
2026-04-20,1,ECU Housing 1,6,0,0
2026-04-20,1,ECU Housing 1,7,12,0
2026-04-20,1,ECU Housing 1,8,146,34
2026-04-20,1,ECU Housing 1,9,235,49
2026-04-20,1,ECU Housing 1,10,236,49
2026-04-20,1,ECU Housing 1,11,260,51
2026-04-20,1,ECU Housing 1,12,161,32
2026-04-20,1,ECU Housing 1,13,0,0
2026-04-20,1,ECU Housing 1,14,0,0
2026-04-20,1,ECU Housing 1,15,0,0
2026-04-20,1,ECU Housing 1,16,0,0
2026-04-20,1,ECU Housing 1,17,0,0
2026-04-20,1,ECU Housing 1,18,0,0
2026-04-20,1,ECU Housing 1,19,0,0
2026-04-20,1,ECU Housing 1,20,0,0
2026-04-20,1,ECU Housing 1,21,0,0
2026-04-20,1,ECU Housing 1,22,0,0
2026-04-20,1,ECU Housing 1,23,0,0
