day_key,line_id,line_name,hour,hourly_count,run_minutes
2026-04-20,3,LP EGR-VV,0,0,0
2026-04-20,3,LP EGR-VV,1,0,0
2026-04-20,3,LP EGR-VV,2,0,0
2026-04-20,3,LP EGR-VV,3,0,0
2026-04-20,3,LP EGR-VV,4,0,0
2026-04-20,3,LP EGR-VV,5,0,0
2026-04-20,3,LP EGR-VV,6,0,0
2026-04-20,3,LP EGR-VV,7,117,42
2026-04-20,3,LP EGR-VV,8,144,58
2026-04-20,3,LP EGR-VV,9,170,60
2026-04-20,3,LP EGR-VV,10,167,60
2026-04-20,3,LP EGR-VV,11,169,60
2026-04-20,3,LP EGR-VV,12,124,44
2026-04-20,3,LP EGR-VV,13,0,0
2026-04-20,3,LP EGR-VV,14,0,0
2026-04-20,3,LP EGR-VV,15,0,0
2026-04-20,3,LP EGR-VV,16,0,0
2026-04-20,3,LP EGR-VV,17,0,0
2026-04-20,3,LP EGR-VV,18,0,0
2026-04-20,3,LP EGR-VV,19,0,0
2026-04-20,3,LP EGR-VV,20,0,0
2026-04-20,3,LP EGR-VV,21,0,0
2026-04-20,3,LP EGR-VV,22,0,0
2026-04-20,3,LP EGR-VV,23,0,0
